filename,url
Aisha Fahmy Palace.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Aisha Fahmy Palace.glb
Al-Azhar Mosque.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Al-Azhar Mosque.glb
Amr Ibn Al-Aas Mosque.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Amr Ibn Al-Aas Mosque.glb
Bab Zuweila.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Bab Zuweila.glb
Baron Empain Palace.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Baron Empain Palace.glb
Cairo Opera House.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Cairo Opera House.glb
Cairo Tower.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Cairo Tower.glb
Cairo University Clock.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Cairo University Clock.glb
Great sphinx of Giza.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Great sphinx of Giza.glb
Ibrahim Pasha Statue.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Ibrahim Pasha Statue.glb
Khufu's Solar Boat.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Khufu's Solar Boat.glb
Muhammad Ali Mosque.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Muhammad Ali Mosque.glb
Nahdet Misr Statue.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Nahdet Misr Statue.glb
October War Panorama.glb,https://storage.googleapis.com/tourasna-storage/3d_models/October War Panorama.glb
Pharaoh Senusret I Obelisk.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Pharaoh Senusret I Obelisk.glb
Pyramid of Khafre.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Pyramid of Khafre.glb
Pyramid of Khufu.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Pyramid of Khufu.glb
Pyramid of Menkaure.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Pyramid of Menkaure.glb
Pyramid of Snefru.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Pyramid of Snefru.glb
Qasr El Nil Lion Statues.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Qasr El Nil Lion Statues.glb
Saad Zaghloul Statue.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Saad Zaghloul Statue.glb
Saqqara Step Pyramid.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Saqqara Step Pyramid.glb
Simon Bolívar Statue.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Simon Bolívar Statue.glb
Sultan Hassan Mosque.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Sultan Hassan Mosque.glb
Tal'at Harb Statue.glb,https://storage.googleapis.com/tourasna-storage/3d_models/Tal'at Harb Statue.glb
The Egyptian Museum.glb,https://storage.googleapis.com/tourasna-storage/3d_models/The Egyptian Museum.glb
The Grand Egyptian Museum (GEM).glb,https://storage.googleapis.com/tourasna-storage/3d_models/The Grand Egyptian Museum (GEM).glb
The Hanging Church.glb,https://storage.googleapis.com/tourasna-storage/3d_models/The Hanging Church.glb
The Sphinx Statue (Inside the Museum).glb,https://storage.googleapis.com/tourasna-storage/3d_models/The Sphinx Statue (Inside the Museum).glb
The Virgin Mary’s tree.glb,https://storage.googleapis.com/tourasna-storage/3d_models/The Virgin Mary’s tree.glb
